,,altitude(feet),ascent(feet),speed(mph),distance(feet),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mph),velocityY(mph),velocityZ(mph),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
51.4055,-2.8192,0,0,0.67,0,0,0,0.67,0,0,35:22.9,35:22.9,9,0,0,12.011,41.779605,-8.528486,0,0,-0.67,0,0,68,0,1,0,75,100,-3023,1690,12011,2980.5,13,TAKE_OFF,1,0,0,0,0,0,0,1.53E+12,4032,4029,4032,0,0,0,22,Litchi_4.6.1-g,rogerio...-Mavic Air,0K1DF133AD0586,0RKCECL0061D5U,0K4AF24A340CD4,,0,0,0,-9,-1,689,0,0,694,11,3,3,1.57,0,0,-3,0,,,97,97,0,1,0,0,0,2,1,,,,,8.9,1.9,0
51.4055,-2.8192,0,0,0.89,0,0,0,0.89,0,86,35:23.0,35:23.0,9,0,0,12.011,41.779605,-8.528486,0,0,-0.89,0,0,68,0,1,0,75,100,-3023,1690,12011,2980.5,13,TAKE_OFF,1,0,0,0,0,0,0,1.53E+12,4032,4029,4032,0,0,0,22,,,,,,,0,0,0,-9,-2,689,0,0,694,11,3,4,2.04,0,0,-4,0,,,97,97,0,1,0,0,0,2,1,,,,,8.9,1.9,0
51.4055,-2.8192,1,1,0.89,0,1,1,0.89,0,168,35:23.0,35:23.0,9,0,0,12.011,41.779605,-8.528486,0,0,-0.89,0,0,68,0,1,0,75,100,-3023,1690,12011,2980.5,13,TAKE_OFF,1,0,0,0,0,0,0,1.53E+12,4032,4029,4032,0,0,0,22,,,,,,,0,0,0,-8,-2,689,0,0,694,11,4,4,2.18,0,0,-4,0,,,94,94,0,1,0,0,0,2,1,,,,,8.9,1.9,0
51.4055,-2.8192,1,1,0.89,0,1,1,0.89,0,312,35:23.2,35:23.2,9,0,0,12.011,41.779605,-8.528486,0,0,-0.89,0,0,68,0,1,0,75,100,-3023,1690,12011,2980.5,13,TAKE_OFF,1,0,0,0,0,0,0,1.53E+12,4032,4029,4032,0,0,0,22,,,,,,,0,0,0,-8,-2,689,0,0,694,11,4,4,2.4,0,0,-4,0,,,94,94,0,1,0,0,0,2,1,,,,,8.9,1.9,0
51.4055,-2.8192,1,1,0.89,0,1,1,0.89,0,385,35:23.3,35:23.3,9,0,0,12.011,41.779605,-8.528486,0,0,-0.89,0,0,68,0,1,0,75,100,-3023,1690,12011,2980.5,13,TAKE_OFF,1,0,0,0,0,0,0,1.53E+12,4032,4029,4032,0,0,0,22,,,,,,,0,0,0,-9,-1,689,0,0,694,11,5,4,2.55,0,0,-4,0,,,94,94,0,1,0,0,0,2,1,,,,,8.9,1.9,0
51.4055,-2.8192,1,1,0.89,0,1,1,0.89,0,493,35:23.4,35:23.4,9,0,0,12.011,41.779605,-8.528486,0,0,-0.89,0,0,68,0,1,0,75,100,-3023,1690,12011,2980.5,13,TAKE_OFF,1,0,0,0,0,0,0,1.53E+12,4032,4029,4032,0,0,0,22,,,,,,,0,0,0,-8,0,687,0,0,693,11,5,4,2.47,0,0,-4,0,,,94,94,0,1,0,0,0,2,1,,,,,8.9,1.9,0
51.4055,-2.8192,1,1,1.12,0,1,1,1.12,0,620,35:23.5,35:23.5,9,0,0,12.011,41.779605,-8.528486,0,0,-1.12,0,0,68,0,1,0,75,100,-3023,1690,12011,2980.5,13,TAKE_OFF,1,0,0,0,0,0,0,1.53E+12,4032,4029,4032,0,0,0,22,,,,,,,0,0,0,-9,-1,687,0,0,693,11,6,5,2.61,0,0,-5,0,,,94,94,0,1,0,0,0,2,1,,,,,8.9,1.9,0
51.4055,-2.8192,1,1,1.12,0,1,1,1.12,0,704,35:23.6,35:23.6,9,0,0,12.011,41.779605,-8.528486,0,0,-1.12,0,0,68,0,1,0,75,100,-3023,1690,12011,2980.5,13,TAKE_OFF,1,0,0,0,0,0,0,1.53E+12,4032,4029,4032,0,0,0,22,,,,,,,0,0,0,-9,0,689,0,0,693,11,6,5,2.29,0,0,-5,0,,,94,94,0,1,0,0,0,2,1,,,,,8.9,1.9,0
51.4055,-2.8192,2,2,0.89,0,2,2,1.12,0,811,35:23.7,35:23.7,9,0,0,12.011,41.779605,-8.528486,0,0,-0.89,1,0,68,0,1,0,75,100,-3023,1690,12011,2980.5,13,TAKE_OFF,1,0,0,0,0,0,0,1.53E+12,4032,4029,4032,0,0,0,22,,,,,,,0,0,0,-11,0,689,0,0,693,11,6,4,2.39,0,0,-4,0,,,94,94,0,1,0,0,0,2,1,,,,,8.9,1.9,0
51.4055,-2.8192,2,2,0.89,0,2,2,1.12,0,916,35:23.8,35:23.8,9,0,0,11.746,41.779605,-8.528486,0,0,-0.89,1,0,68,0,1,0,75,100,-4513,1689,11746,2980.5,13,TAKE_OFF,1,0,0,0,0,0,0,1.53E+12,4032,4029,4032,0,0,0,22,,,,,,,0,0,0,-11,0,689,0,0,693,11,6,4,2.39,0,0,-4,0,,,94,94,0,1,0,0,0,2,1,,,,,8.9,1.9,0
51.4055,-2.8192,2,2,0.89,0,2,2,1.12,0,1022,35:23.9,35:23.9,9,0,0,11.746,41.779605,-8.528486,0,0,-0.89,1,0,68,0,1,0,75,100,-4513,1689,11746,2980.5,13,TAKE_OFF,1,0,0,0,0,0,0,1.53E+12,4032,4029,4032,0,0,0,22,,,,,,,0,0,0,-10,-1,689,0,0,693,11,8,4,2.5,0,0,-4,0,,,94,94,0,1,0,0,0,2,1,,,,,8.9,1.9,0
51.4055,-2.8192,2,2,0.89,0,2,2,1.12,0,1106,35:24.0,35:24.0,9,0,0,11.746,41.779605,-8.528486,0,0,-0.89,0,0,68,0,1,0,75,100,-4513,1689,11746,2980.5,13,TAKE_OFF,1,0,0,0,0,0,0,1.53E+12,4032,4029,4032,0,0,0,22,,,,,,,0,0,0,-9,-4,689,0,0,693,11,8,4,2.65,0,0,-4,0,,,94,94,0,1,0,0,0,2,1,,,,,8.9,1.9,0
51.4055,-2.8192,2,2,0.89,0,2,2,1.12,0,1199,35:24.1,35:24.1,9,0,0,11.746,41.779605,-8.528486,0,0,-0.89,1,0,68,0,1,0,75,100,-4513,1689,11746,2980.5,13,TAKE_OFF,1,0,0,0,0,0,0,1.53E+12,4032,4029,4032,0,0,0,22,,,,,,,0,0,0,-11,-5,689,0,0,693,11,8,4,2.74,0,0,-4,0,,,94,94,0,1,0,0,0,2,1,,,,,8.9,1.9,0
